timestamp,elapsed_seconds,vehicle_name,engine_temp,rpm,speed,fuel_level,engine_load,throttle_pos,battery_voltage,battery_health,dtc_count,trouble_codes,hard_braking_freq,accel_variance,idle_ratio,driving_style,ambient_temp,weather_condition,weather_raw,wind_speed,humidity,pressure_hpa,monthly_precipitation,road_roughness,traffic_density,road_type,mileage,vehicle_age,brake_thickness,tire_tread,oil_degradation,latitude,longitude,city,maintenance_probability,severity,needs_maintenance
2025-10-09 08:41:00,0,Innova,29.67,870.0,0.0,0.909,7.83,4.48,14.164,0.792,0,,0.164,2.232,1.0,Aggressive,25.4,Haze,haze,5.8,45.1,1016.9,15,1.49,29.4,Highway,81195.1,6,7.505,5.868,0.3434,28.574233,77.207372,Delhi,,,
2025-10-09 08:41:02,2,Innova,29.99,879.0,0.27,0.909,7.5,4.69,14.166,0.792,0,,0.163,2.211,1.0,Aggressive,26.4,Haze,haze,5.8,45.1,1016.9,15,1.25,30.2,Highway,81195.1,6,7.505,5.868,0.3434,28.574252,77.207372,Delhi,,,
2025-10-09 08:41:04,4,Innova,30.55,881.2,0.84,0.909,7.94,4.5,14.164,0.792,0,,0.161,2.25,1.0,Aggressive,23.7,Haze,haze,5.8,45.1,1016.9,15,1.66,33.8,Highway,81195.1,6,7.505,5.868,0.3434,28.574273,77.207386,Delhi,,,
2025-10-09 08:41:06,6,Innova,31.11,866.5,1.6,0.909,8.17,4.36,14.164,0.792,0,,0.158,2.209,1.0,Smooth,24.9,Haze,haze,5.8,45.1,1016.9,15,1.36,28.7,Highway,81195.1,6,7.505,5.868,0.3434,28.574279,77.207403,Delhi,,,
2025-10-09 08:41:08,8,Innova,31.8,832.1,2.35,0.909,8.87,4.11,14.17,0.792,0,,0.154,2.122,0.95,Smooth,27.2,Haze,haze,5.8,45.1,1016.9,15,1.15,31.4,Highway,81195.1,6,7.505,5.868,0.3434,28.57428,77.207415,Delhi,,,
2025-10-09 08:41:10,10,Innova,32.52,801.9,3.13,0.909,10.01,3.85,14.164,0.792,0,,0.152,2.217,0.902,Aggressive,24.6,Haze,haze,5.8,45.1,1016.9,15,1.27,27.0,Highway,81195.1,6,7.505,5.868,0.3434,28.574283,77.207449,Delhi,,,
2025-10-09 08:41:12,12,Innova,33.1,775.2,4.32,0.909,10.58,3.64,14.148,0.792,0,,0.149,2.223,0.857,Smooth,24.5,Haze,haze,5.8,45.1,1016.9,15,1.58,36.1,Highway,81195.1,6,7.505,5.868,0.3434,28.574265,77.207471,Delhi,,,
2025-10-09 08:41:14,14,Innova,33.57,751.8,5.72,0.909,11.34,3.73,14.151,0.792,0,,0.147,2.32,0.815,Smooth,25.8,Haze,haze,5.8,45.1,1016.9,15,1.2,34.2,Highway,81195.1,6,7.505,5.868,0.3434,28.574273,77.207515,Delhi,,,
2025-10-09 08:41:16,16,Innova,34.11,731.2,7.47,0.909,11.7,3.63,14.158,0.792,0,,0.148,2.393,0.774,Aggressive,25.2,Haze,haze,5.8,45.1,1016.9,15,1.36,30.3,Highway,81195.1,6,7.505,5.868,0.3434,28.574282,77.207552,Delhi,,,
2025-10-09 08:41:18,18,Innova,34.62,713.1,8.7,0.908,12.68,3.52,14.15,0.792,0,,0.145,2.544,0.735,Aggressive,26.4,Haze,haze,5.8,45.1,1016.9,15,1.53,31.1,Highway,81195.1,6,7.505,5.868,0.3434,28.574293,77.20762,Delhi,,,
