timestamp,elapsed_seconds,vehicle_name,engine_temp,rpm,speed,fuel_level,engine_load,throttle_pos,battery_voltage,battery_health,dtc_count,trouble_codes,hard_braking_freq,accel_variance,idle_ratio,driving_style,ambient_temp,weather_condition,weather_raw,wind_speed,humidity,pressure_hpa,monthly_precipitation,road_roughness,traffic_density,road_type,mileage,vehicle_age,brake_thickness,tire_tread,oil_degradation,latitude,longitude,city,maintenance_probability,severity,needs_maintenance
2026-01-28 13:17:00,0,Innova,11.43,937.1,0.0,0.207,6.33,2.0,14.194,0.754,0,,0.178,2.002,1.0,Aggressive,11.6,Clear,clear sky,3.2,78.3,1014.2,20,1.31,37.6,Highway,86819.76,6,6.296,4.67,0.1172,28.615516,77.231178,Delhi,,,
2026-01-28 13:17:02,2,Innova,11.87,906.3,0.27,0.207,6.97,2.28,14.18,0.754,0,,0.172,1.957,1.0,Smooth,11.9,Clear,clear sky,3.2,78.3,1014.2,20,1.61,35.8,Highway,86819.76,6,6.296,4.67,0.1172,28.615506,77.231175,Delhi,,,
2026-01-28 13:17:04,4,Innova,12.72,879.9,0.83,0.207,7.37,2.34,14.184,0.754,0,,0.165,1.924,1.0,Smooth,11.8,Clear,clear sky,3.2,78.3,1014.2,20,1.71,25.0,Highway,86819.76,6,6.296,4.67,0.1172,28.615502,77.231195,Delhi,,,
2026-01-28 13:17:06,6,Innova,13.69,889.5,1.73,0.207,7.04,2.42,14.187,0.754,0,,0.162,2.024,1.0,Aggressive,11.1,Clear,clear sky,3.2,78.3,1014.2,20,1.56,28.8,Highway,86819.76,6,6.296,4.67,0.1172,28.615493,77.231175,Delhi,,,
2026-01-28 13:17:08,8,Innova,14.42,852.3,2.64,0.206,8.55,2.82,14.184,0.754,0,,0.159,2.014,0.95,Stop-and-Go,13.3,Clear,clear sky,3.2,78.3,1014.2,20,1.57,30.0,Highway,86819.76,6,6.296,4.67,0.1172,28.615483,77.231176,Delhi,,,
2026-01-28 13:17:10,10,Innova,14.99,819.7,3.35,0.206,9.33,2.72,14.178,0.754,0,,0.162,2.004,0.902,Aggressive,12.9,Clear,clear sky,3.2,78.3,1014.2,20,1.34,25.2,Highway,86819.76,6,6.296,4.67,0.1172,28.615481,77.231188,Delhi,,,
2026-01-28 13:17:12,12,Innova,15.82,790.9,4.45,0.206,10.03,2.94,14.177,0.754,0,,0.159,2.084,0.857,Aggressive,10.5,Clear,clear sky,3.2,78.3,1014.2,20,1.44,25.4,Highway,86819.76,6,6.296,4.67,0.1172,28.615464,77.231212,Delhi,,,
2026-01-28 13:17:14,14,Innova,16.5,765.6,5.78,0.206,10.6,3.02,14.161,0.754,0,,0.155,2.163,0.815,Smooth,11.8,Clear,clear sky,3.2,78.3,1014.2,20,1.45,24.8,Highway,86819.77,6,6.296,4.67,0.1172,28.615447,77.231229,Delhi,,,
2026-01-28 13:17:16,16,Innova,17.12,743.3,7.28,0.206,10.5,2.99,14.154,0.754,0,,0.151,2.27,0.774,Smooth,11.4,Clear,clear sky,3.2,78.3,1014.2,20,1.37,39.1,Highway,86819.77,6,6.296,4.67,0.1172,28.615417,77.23125,Delhi,,,
2026-01-28 13:17:18,18,Innova,17.55,723.7,8.56,0.206,11.09,3.11,14.156,0.754,0,,0.152,2.351,0.735,Aggressive,10.7,Clear,clear sky,3.2,78.3,1014.2,20,1.43,24.2,Highway,86819.78,6,6.296,4.67,0.1172,28.615372,77.231278,Delhi,,,
2026-01-28 13:17:20,20,Innova,17.96,706.5,10.05,0.206,11.36,3.04,14.138,0.754,0,,0.15,2.447,0.698,Aggressive,10.5,Clear,clear sky,3.2,78.3,1014.2,20,1.51,22.6,Highway,86819.78,6,6.296,4.67,0.1172,28.615317,77.231315,Delhi,,,
