timestamp,elapsed_seconds,vehicle_name,engine_temp,rpm,speed,fuel_level,engine_load,throttle_pos,battery_voltage,battery_health,dtc_count,trouble_codes,hard_braking_freq,accel_variance,idle_ratio,driving_style,ambient_temp,weather_condition,weather_raw,wind_speed,humidity,pressure_hpa,monthly_precipitation,road_roughness,traffic_density,road_type,mileage,vehicle_age,brake_thickness,tire_tread,oil_degradation,latitude,longitude,city,maintenance_probability,severity,needs_maintenance,maf,fuel_usage_ml_min,gear
2025-11-16 23:26:45,0.0,Opel Corsa,85.0,887.8,0.0,0.5,10.59,23.92,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,8.0,68.3,1007.5,70,1.86,39.6,Urban,91944.0,13,0.1,0.106,0.9994,0.0,0.0,Europe,,,,2.65,14.5,?
2025-11-16 23:26:47,1.2,Opel Corsa,85.0,892.2,0.0,0.5,10.59,23.92,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,3.1,73.5,1020.6,70,1.91,37.8,Urban,91944.0,13,0.107,0.1,0.9977,0.0,0.0,Europe,,,,2.7,14.8,?
2025-11-16 23:26:48,2.4,Opel Corsa,85.0,914.5,0.0,0.5,10.59,23.92,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-4.0,Rain,light rain,6.7,74.5,1012.2,70,1.92,37.5,Urban,91944.0,13,0.106,0.101,1.0,0.0,0.0,Europe,,,,2.69,14.7,?
2025-11-16 23:26:49,3.6,Opel Corsa,85.0,901.8,0.0,0.5,10.59,23.53,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,6.9,72.7,1015.0,70,1.74,42.8,Urban,91944.0,13,0.103,0.1,1.0,0.0,0.0,Europe,,,,2.67,14.6,?
2025-11-16 23:26:50,4.8,Opel Corsa,85.0,907.5,0.0,0.5,10.2,23.53,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,5.1,60.5,1010.5,70,1.99,36.7,Urban,91944.0,13,0.109,0.103,1.0,0.0,0.0,Europe,,,,2.63,14.4,?
2025-11-16 23:26:51,6.0,Opel Corsa,85.0,897.5,0.0,0.5,10.59,23.53,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,4.5,38.1,1021.4,70,1.94,42.2,Urban,91944.0,13,0.1,0.1,0.9998,0.0,0.0,Europe,,,,2.72,14.9,?
2025-11-16 23:26:53,7.2,Opel Corsa,85.0,872.2,0.0,0.5,10.98,23.92,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,8.6,71.1,1016.0,70,1.87,41.6,Urban,91944.0,13,0.11,0.106,0.9982,0.0,0.0,Europe,,,,2.73,15.0,?
2025-11-16 23:26:54,8.4,Opel Corsa,85.0,889.2,0.0,0.5,10.59,23.53,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,4.4,84.7,1015.1,70,1.72,46.4,Urban,91944.0,13,0.112,0.106,0.999,0.0,0.0,Europe,,,,2.68,14.7,?
2025-11-16 23:26:55,9.6,Opel Corsa,85.0,880.2,0.0,0.5,10.59,23.92,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,5.6,70.3,1020.7,70,1.76,41.9,Urban,91944.0,13,0.107,0.105,1.0,0.0,0.0,Europe,,,,2.67,14.6,?
2025-11-16 23:26:56,10.8,Opel Corsa,85.0,888.2,0.0,0.5,10.59,23.53,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,-5.0,Rain,light rain,4.5,50.4,1013.8,70,2.13,42.9,Urban,91944.0,13,0.1,0.1,0.9991,0.0,0.0,Europe,,,,2.6,14.2,?
