timestamp,elapsed_seconds,vehicle_name,engine_temp,rpm,speed,fuel_level,engine_load,throttle_pos,battery_voltage,battery_health,dtc_count,trouble_codes,hard_braking_freq,accel_variance,idle_ratio,driving_style,ambient_temp,weather_condition,weather_raw,wind_speed,humidity,pressure_hpa,monthly_precipitation,road_roughness,traffic_density,road_type,mileage,vehicle_age,brake_thickness,tire_tread,oil_degradation,latitude,longitude,city,maintenance_probability,severity,needs_maintenance,maf,fuel_usage_ml_min,gear
2025-06-13 10:38:03,0.0,Opel Corsa,85.0,662.2,0.0,0.5,6.67,19.61,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,13.3,Clear,clear sky,7.2,58.3,1005.5,45,1.83,38.8,Urban,86888.0,13,2.604,2.562,0.9131,0.0,0.0,Europe,,,,1.38,7.56,?
2025-06-13 10:38:04,1.2,Opel Corsa,85.0,704.0,0.0,0.5,6.67,19.61,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,7.9,Clear,clear sky,8.4,55.4,1011.8,45,1.54,45.9,Urban,86888.0,13,2.613,2.551,0.9119,0.0,0.0,Europe,,,,1.37,7.51,?
2025-06-13 10:38:05,2.3,Opel Corsa,85.0,680.8,0.0,0.5,6.67,19.61,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,10.7,Clear,clear sky,5.7,68.5,1015.2,45,1.65,41.8,Urban,86888.0,13,2.609,2.56,0.9117,0.0,0.0,Europe,,,,1.38,7.56,?
2025-06-13 10:38:06,3.5,Opel Corsa,85.0,705.0,0.0,0.5,6.67,19.22,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,12.5,Clear,clear sky,7.5,58.8,1011.8,45,1.74,42.5,Urban,86888.0,13,2.616,2.555,0.912,0.0,0.0,Europe,,,,1.35,7.4,?
2025-06-13 10:38:07,4.6,Opel Corsa,85.0,681.0,0.0,0.5,6.67,19.61,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,7.7,Clear,clear sky,2.5,67.9,1009.0,45,1.96,41.6,Urban,86888.0,13,2.611,2.546,0.9107,0.0,0.0,Europe,,,,1.4,7.67,?
2025-06-13 10:38:08,5.8,Opel Corsa,85.0,668.5,0.0,0.5,6.67,19.61,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,11.2,Clear,clear sky,3.6,43.3,1023.4,45,1.8,47.2,Urban,86888.0,13,2.603,2.554,0.9134,0.0,0.0,Europe,,,,1.4,7.67,?
2025-06-13 10:38:09,6.9,Opel Corsa,85.0,674.8,0.0,0.5,6.67,19.61,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,10.1,Clear,clear sky,6.7,55.4,1007.9,45,1.86,48.3,Urban,86888.0,13,2.604,2.551,0.9127,0.0,0.0,Europe,,,,1.42,7.78,?
2025-06-13 10:38:11,8.0,Opel Corsa,85.0,688.0,0.0,0.5,6.67,19.61,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,10.7,Clear,clear sky,10.5,69.0,1009.8,45,1.83,47.7,Urban,86888.0,13,2.602,2.555,0.9124,0.0,0.0,Europe,,,,1.41,7.72,?
2025-06-13 10:38:12,9.2,Opel Corsa,85.0,669.5,0.0,0.5,6.67,20.0,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,11.9,Clear,clear sky,4.8,61.6,1013.4,45,1.41,40.5,Urban,86888.0,13,2.613,2.555,0.9127,0.0,0.0,Europe,,,,1.44,7.89,?
2025-06-13 10:38:13,10.6,Opel Corsa,92.0,693.0,0.0,0.5,6.67,20.0,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,28.3,Clear,clear sky,8.1,78.9,1016.8,45,1.82,45.8,Urban,86888.0,13,2.62,2.552,0.9145,0.0,0.0,Europe,,,,1.45,7.94,?
