timestamp,elapsed_seconds,vehicle_name,engine_temp,rpm,speed,fuel_level,engine_load,throttle_pos,battery_voltage,battery_health,dtc_count,trouble_codes,hard_braking_freq,accel_variance,idle_ratio,driving_style,ambient_temp,weather_condition,weather_raw,wind_speed,humidity,pressure_hpa,monthly_precipitation,road_roughness,traffic_density,road_type,mileage,vehicle_age,brake_thickness,tire_tread,oil_degradation,latitude,longitude,city,maintenance_probability,severity,needs_maintenance,maf,fuel_usage_ml_min,gear
2025-08-28 23:22:43,0.0,Opel Corsa,85.0,1046.2,0.0,0.5,12.55,25.49,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,9.2,Clear,clear sky,4.6,88.9,1012.5,40,2.86,44.2,Urban,89576.0,13,0.106,0.533,0.9987,0.0,0.0,Europe,,,,3.38,18.5,?
2025-08-28 23:22:44,1.2,Opel Corsa,85.0,1009.0,0.0,0.5,11.76,24.71,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,8.8,Clear,clear sky,5.9,65.9,1009.0,40,2.75,43.5,Urban,89576.0,13,0.11,0.529,1.0,0.0,0.0,Europe,,,,3.1,17.0,?
2025-08-28 23:22:45,2.4,Opel Corsa,85.0,1017.8,0.0,0.5,11.76,24.71,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,7.6,Clear,clear sky,5.7,71.2,1015.5,40,3.03,45.7,Urban,89576.0,13,0.103,0.533,0.9987,0.0,0.0,Europe,,,,3.17,17.4,?
2025-08-28 23:22:46,3.6,Opel Corsa,85.0,1000.5,0.0,0.5,11.76,24.71,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,9.7,Clear,clear sky,4.1,78.9,1015.5,40,2.61,42.2,Urban,89576.0,13,0.1,0.525,0.9977,0.0,0.0,Europe,,,,3.04,16.7,?
2025-08-28 23:22:47,4.8,Opel Corsa,85.0,1014.0,0.0,0.5,11.76,24.31,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,9.4,Clear,clear sky,6.1,48.1,1016.9,40,2.73,42.4,Urban,89576.0,13,0.1,0.533,1.0,0.0,0.0,Europe,,,,3.03,16.6,?
2025-08-28 23:22:49,6.0,Opel Corsa,85.0,958.0,0.0,0.5,11.37,24.31,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,8.3,Clear,clear sky,6.0,80.3,1001.9,40,3.03,44.9,Urban,89576.0,13,0.106,0.525,0.9979,0.0,0.0,Europe,,,,2.87,15.7,?
2025-08-28 23:22:50,7.2,Opel Corsa,85.0,958.2,0.0,0.5,11.37,23.92,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,4.4,Clear,clear sky,3.1,68.7,1008.8,40,2.91,49.3,Urban,89576.0,13,0.1,0.531,0.9956,0.0,0.0,Europe,,,,2.94,16.1,?
2025-08-28 23:22:51,8.4,Opel Corsa,85.0,971.0,0.0,0.5,10.59,23.92,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,3.3,Clear,clear sky,5.6,67.0,1004.0,40,3.07,40.6,Urban,89576.0,13,0.1,0.53,1.0,0.0,0.0,Europe,,,,2.72,14.9,?
2025-08-28 23:22:52,9.5,Opel Corsa,85.0,956.8,0.0,0.5,10.2,23.53,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,5.3,Clear,clear sky,4.2,55.5,1007.9,40,3.1,41.2,Urban,89576.0,13,0.1,0.528,0.9993,0.0,0.0,Europe,,,,2.63,14.4,?
2025-08-28 23:22:53,10.7,Opel Corsa,85.0,950.5,0.0,0.5,10.59,23.53,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,7.0,Clear,clear sky,5.7,53.0,1014.2,40,2.88,42.1,Urban,89576.0,13,0.1,0.537,0.9962,0.0,0.0,Europe,,,,2.67,14.6,?
2025-08-28 23:22:55,11.9,Opel Corsa,85.0,858.8,0.0,0.5,13.33,25.1,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,7.4,Clear,clear sky,5.5,72.7,1007.5,40,2.84,42.2,Urban,89576.0,13,0.106,0.526,0.9998,0.0,0.0,Europe,,,,3.21,17.6,?
2025-08-28 23:22:56,13.1,Opel Corsa,85.0,848.8,0.0,0.5,14.12,25.1,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,8.8,Clear,clear sky,4.6,61.2,1016.0,40,3.08,44.2,Urban,89576.0,13,0.1,0.535,0.9995,0.0,0.0,Europe,,,,3.26,17.9,?
2025-08-28 23:22:57,14.3,Opel Corsa,85.0,886.2,0.0,0.5,14.51,26.27,12.4,0.65,0,,0.0,0.0,1.0,Stop-and-Go,9.1,Clear,clear sky,3.9,61.2,1019.4,40,3.11,42.3,Urban,89576.0,13,0.101,0.526,0.9991,0.0,0.0,Europe,,,,3.55,19.4,?
2025-08-28 23:22:58,15.5,Opel Corsa,85.0,721.2,5.0,0.5,23.53,31.76,12.4,0.65,0,,0.0,1.112,0.929,Stop-and-Go,7.2,Clear,clear sky,5.2,75.0,1016.0,40,2.81,39.0,Urban,89576.0,13,0.1,0.523,0.9986,0.0,0.0,Europe,,,,5.18,28.4,?
